longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,distance_to_cluster_0,distance_to_cluster_1,distance_to_cluster_2,distance_to_cluster_3
-121.32,38.62,29.0,2430.0,448.0,1087.0,394.0,3.0864,0.0,0.8299276845733418,3.374526788671581,8.705276910151769,3.612425183550922
-121.75,38.67,9.0,12139.0,2640.0,6837.0,2358.0,3.125,0.0,10.540916072168836,11.100536232880655,3.0256976472860173,8.183440721473943
-116.25,33.68,16.0,926.0,189.0,238.0,118.0,3.0114,0.0,3.7762741066495926,2.6917715306909407,9.99193512661761,4.419234154692462
-122.94,39.1,18.0,681.0,120.0,272.0,105.0,2.8906,0.0,2.0223218007562203,4.313036741440345,10.29999488517848,5.113452933304718
-118.39,34.15,29.0,3110.0,650.0,1212.0,642.0,4.2031,3.0,3.050260237586649,1.1874589800316118,7.730140813937013,2.057251354009581
-118.37,34.1,37.0,407.0,67.0,100.0,47.0,15.0001,3.0,6.754265414704012,5.932442796787544,11.74474442343782,7.32668608430138
-122.27,37.88,52.0,3360.0,648.0,1232.0,621.0,4.2813,1.0,2.067365227150778,3.634446826923752,8.286337199062364,3.766619157907792
-121.27,37.93,24.0,1451.0,320.0,1413.0,283.0,2.125,0.0,1.1899341796332497,3.302962423036832,9.054117048277487,3.800057428735258
-121.75,38.55,33.0,2479.0,382.0,979.0,377.0,4.7308,0.0,0.9801971546920584,3.4556883131670717,8.88304842748011,3.8452469292824967
-122.66,39.02,16.0,3715.0,810.0,943.0,510.0,1.7446,0.0,2.096728925865046,4.331116447855855,8.058068109687174,3.6160931033952024
-119.55,36.51,46.0,1889.0,390.0,971.0,403.0,2.2132,0.0,1.985676057374928,2.7770302384022725,9.089569105043662,3.8688282368584157
-117.04,32.71,28.0,5274.0,991.0,3727.0,961.0,3.57,2.0,4.896057510670543,3.5929305219851595,5.51037490020975,1.7860319998120788
-119.27,34.27,52.0,459.0,112.0,276.0,107.0,2.375,2.0,3.1780709495963912,2.3897720497475468,10.456748881873091,4.882368563607259
-117.99,34.04,30.0,4468.0,959.0,4027.0,938.0,3.185,3.0,4.542285674695465,3.437475650821688,5.625820133639223,1.6300568442587313
-118.29,33.74,29.0,1503.0,411.0,1368.0,390.0,2.1473,2.0,2.8126062177628763,1.0500252763693985,8.703625246798042,2.9554132506071116
-121.76,37.0,21.0,1416.0,269.0,779.0,200.0,3.1987,3.0,1.9380845043507986,2.6591192214312547,9.400022493885974,3.8408819218966026
-118.44,34.18,36.0,2077.0,496.0,1206.0,528.0,2.2326,3.0,3.003017107438189,1.2205445012914171,8.485568914023368,2.913286320000168
-117.9,34.13,5.0,1126.0,316.0,819.0,311.0,1.5,3.0,3.8274310737644304,2.54454453810285,9.303966566983693,3.770960910229451
-121.91,37.46,26.0,2762.0,496.0,1716.0,459.0,5.6062,3.0,2.095352293332894,2.877135316801984,8.150907709670784,3.017871240688496
-118.16,33.88,33.0,2180.0,522.0,1634.0,467.0,3.0114,3.0,3.1053152165431865,0.9528061549087986,8.267889722422629,2.636387318350761
-118.37,33.97,32.0,6699.0,1781.0,2725.0,1544.0,3.3889,3.0,5.924671920410698,5.219805357709483,3.9668400228415366,2.8679901885429744
-121.73,36.85,22.0,1304.0,278.0,887.0,227.0,3.6607,3.0,1.900173156893878,2.5464146584232954,9.318840570591808,3.7479321438317057
-121.76,38.57,11.0,15018.0,3008.0,7984.0,2962.0,3.1371,0.0,12.938186658600518,13.396812419898168,4.8823306647254725,10.501873623859774
-121.98,37.36,32.0,1199.0,229.0,814.0,238.0,4.6719,3.0,1.86687410352566,2.720697731761367,9.531735375026514,4.072569883174588
-118.2,34.07,21.0,1353.0,380.0,1688.0,367.0,1.9937,3.0,3.197871577872017,1.4612251887945458,8.688902252343246,2.996912291668572
-117.08,32.69,31.0,2558.0,487.0,1938.0,492.0,3.4875,2.0,3.5257106398442435,1.1537760780285145,8.071605787890878,2.5380643935252745
-117.3,33.06,24.0,2171.0,511.0,870.0,442.0,3.194,2.0,3.271065047610765,0.9420773438252942,8.533324042257563,2.794250306438725
-118.13,33.77,37.0,4365.0,926.0,1661.0,868.0,5.3046,2.0,3.616221211299113,2.36363388322465,6.723578875114529,1.7546940797539923
-122.14,37.68,27.0,3337.0,613.0,1489.0,607.0,3.6364,1.0,1.1549830079705898,3.166497115841597,7.736831274847464,2.7148496640134963
-122.3,38.29,20.0,1789.0,434.0,1113.0,398.0,2.4728,1.0,1.1125150372016812,3.3914530535429614,8.796215075820829,3.6127475818080663
-116.2,33.63,23.0,1152.0,273.0,1077.0,235.0,2.5,0.0,3.558386738633164,2.3296920401161776,9.392241213059158,3.8919798792830553
-118.5,34.24,34.0,2634.0,412.0,1114.0,423.0,5.9401,3.0,3.0870260702421777,1.2359266548871595,8.55732580861534,3.00974599524187
-118.18,33.82,43.0,2210.0,469.0,1042.0,418.0,3.5,2.0,2.8707214118607784,1.0327610602637223,8.714213996064446,3.1538984147957447
-118.37,33.99,36.0,3228.0,543.0,1305.0,520.0,5.1695,3.0,3.1571969079241793,1.2103020128041218,8.073290445984371,2.5802172270460333
-118.31,34.07,28.0,2362.0,949.0,2759.0,894.0,2.2364,3.0,3.8317458700404763,2.5897561025697304,6.714136014145545,1.7473299464993515
-117.51,34.16,2.0,718.0,98.0,119.0,50.0,4.1,0.0,3.8745764197197996,3.3178119445527106,10.21855405718454,4.704475979440457
-122.09,37.86,27.0,5484.0,760.0,2212.0,770.0,7.6202,1.0,3.1909717472681507,4.289380832136295,6.7960468737972715,3.020266355801416
-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,1.0,4.625521675915784,5.550537959577754,4.578628181802038,3.0474988237055003
-117.12,32.59,28.0,2793.0,706.0,1825.0,676.0,2.6724,2.0,3.7346243789354383,1.7337992507409288,7.5693173514690155,2.194441752728131
-117.7,33.6,26.0,1021.0,230.0,301.0,208.0,2.625,3.0,3.4106297898174005,1.327885469940142,9.743822748182538,3.9412396053651113
-118.31,34.09,28.0,720.0,267.0,891.0,265.0,1.8977,3.0,3.1425291054005657,1.4143004888336894,9.48227382560589,3.7300478121880505
-122.57,37.98,49.0,2860.0,552.0,1178.0,522.0,4.625,1.0,1.7604782405703687,3.5582948100665974,8.597935375215394,3.8957176393409823
-118.34,34.0,44.0,3183.0,513.0,1183.0,473.0,5.0407,3.0,3.2539767785552525,1.413929549047878,8.382855271435897,3.0376790652205297
-117.96,33.79,36.0,2398.0,403.0,1261.0,402.0,5.2816,3.0,3.251022816117014,0.9368899495778767,8.627237667423929,3.058772564127081
-118.44,34.06,13.0,4833.0,1119.0,1649.0,807.0,6.2389,3.0,4.229184548999884,3.1321621872136642,6.340941883591777,1.6701512700938077
-118.34,33.92,6.0,1047.0,271.0,740.0,248.0,3.425,3.0,3.5931644463978993,2.1790687062283176,9.36679642902656,3.6900355251164214
-118.34,34.11,51.0,937.0,348.0,527.0,333.0,4.3571,3.0,3.384017879471046,1.7364523367631048,9.673048057336965,4.2089389732396585
-117.85,34.11,25.0,9255.0,1659.0,4944.0,1627.0,4.5708,0.0,7.2040648030969585,6.955416861279922,2.548172857789401,4.308463331151263
-118.17,34.06,44.0,1856.0,461.0,1853.0,452.0,2.5033,3.0,3.26970011082211,1.4909197999645383,8.568559756831736,3.1922322423560425
-118.27,33.95,34.0,987.0,248.0,902.0,221.0,2.3365,3.0,3.1297869798253464,1.2099927454547585,9.53619852131176,3.796733321488333
-122.86,39.05,20.0,1592.0,327.0,647.0,253.0,2.5326,0.0,1.5426391819271301,4.094426781727415,9.51599738879505,4.487513629130065
-118.24,34.13,45.0,2170.0,401.0,1043.0,394.0,5.6921,3.0,3.3091229429384965,1.4826955233969004,8.93729333896042,3.5393681335496536
-118.46,34.0,39.0,614.0,174.0,538.0,159.0,2.3542,3.0,3.2354962588305063,1.5865368747825588,10.00342843345175,4.281395457653184
-122.5,37.6,35.0,2197.0,369.0,971.0,326.0,4.25,2.0,1.0688315513006297,2.8817020349374056,8.984370354807988,3.698209424207419
-118.12,33.91,35.0,620.0,122.0,381.0,124.0,3.7917,3.0,3.2906545633418447,1.3694948916051837,10.075815057810658,4.2768473743106705
-118.24,33.83,22.0,7368.0,1367.0,4721.0,1342.0,4.8438,3.0,6.23282986953564,5.482074084741768,3.5649576605241884,2.949213441808982
-121.27,38.12,37.0,2232.0,504.0,1455.0,471.0,2.5587,0.0,1.1574465883866702,3.3222173644537083,8.532396260219244,3.5493088539412296
-122.02,37.98,37.0,1474.0,343.0,782.0,331.0,3.4187,1.0,0.6775285556653549,3.0521365663943896,9.281296573176634,3.982470231961694
-117.08,32.62,28.0,2468.0,506.0,1353.0,522.0,3.0771,2.0,3.507144946360076,1.123614938614274,8.249664461726221,2.65540375745127
-118.08,33.9,42.0,1768.0,372.0,1155.0,368.0,3.558,3.0,3.163426475517008,0.985415243686654,8.993734140845138,3.4191698791655205
-122.47,37.73,52.0,2151.0,280.0,762.0,274.0,10.7309,2.0,4.210592761506948,4.858630718209676,10.134425036440051,5.741175658778492
-117.98,34.07,15.0,3543.0,888.0,3131.0,823.0,3.0184,0.0,3.829781433968351,3.3751010337993903,6.276990962538013,1.6481520161070902
-117.44,33.93,34.0,1577.0,272.0,880.0,284.0,4.6327,0.0,2.945893853432598,1.926165664797558,9.26379176368864,3.7208799391324834
-122.4,37.72,40.0,1948.0,413.0,1434.0,396.0,3.0313,1.0,0.9190463567876292,3.1510094089928584,8.819337541029332,3.7181040728068986
-119.26,35.87,24.0,1590.0,390.0,1686.0,372.0,1.6469,0.0,2.0396531663186566,2.5491334873976714,8.619559791633087,3.1729709693210704
-117.46,34.06,24.0,2831.0,478.0,1582.0,435.0,4.3397,0.0,2.9506227328186787,2.0493858305340793,8.12692622600875,2.667326998938749
-117.64,34.06,43.0,763.0,219.0,851.0,198.0,1.7292,0.0,3.2007413597357823,2.507187560409172,9.87568008576934,4.430487939704187
-118.35,33.92,29.0,736.0,232.0,584.0,231.0,3.6167,3.0,3.0800964359611966,1.0302640913145433,9.618695062469001,3.7899596830499536
-119.02,35.38,52.0,90.0,35.0,36.0,31.0,0.8054,0.0,3.4166250259115096,3.5545516579303054,10.98572973085531,5.579416801690235
-121.92,37.72,22.0,4638.0,716.0,2302.0,687.0,5.347,3.0,2.80868763055588,3.528528105409119,6.908186056856272,2.376320130709343
-117.7,33.53,5.0,6698.0,1254.0,2834.0,1139.0,5.9088,3.0,5.653773702303859,4.669050996727652,4.959974620371748,2.4065038718758367
-119.11,35.39,22.0,984.0,176.0,451.0,170.0,3.25,0.0,2.2020731476342537,2.4172460072307556,9.689664253376932,3.9944471323749586
-122.35,37.98,34.0,3756.0,726.0,2237.0,686.0,3.7562,1.0,1.8292704437013139,3.5781580514573106,7.238936894267519,2.7081479575526144
-117.95,33.84,19.0,1749.0,406.0,969.0,391.0,3.75,3.0,3.2131031552886653,1.0832293979152958,8.74124201738855,2.9552176507888466
-118.51,34.22,36.0,1952.0,387.0,1156.0,392.0,4.185,3.0,2.864686625710059,0.676480978047083,8.762884081223813,3.073450299664287
-119.82,36.19,33.0,1293.0,272.0,694.0,229.0,2.0221,0.0,1.7353613885490138,2.613744163454057,9.49162965457361,3.9674610567723394
-121.5,38.53,37.0,3642.0,684.0,1508.0,657.0,3.5231,0.0,1.6104735543342847,3.65588007658377,7.752728062371062,3.175654582669961
-118.45,34.14,33.0,1741.0,274.0,588.0,267.0,7.9625,3.0,3.6877072327358356,2.2160803488210234,9.487399774294563,4.101676348720056
-118.15,33.86,32.0,2630.0,559.0,1069.0,491.0,2.4659,3.0,3.1034420013495296,1.0362010445186418,8.327448607410153,2.690086483984936
-116.41,33.74,25.0,2475.0,476.0,910.0,387.0,3.3639,0.0,3.335025577932101,2.1014600931755902,8.665784332924646,3.2317742185481126
-118.0,33.94,36.0,2911.0,534.0,1395.0,486.0,5.1738,3.0,3.245628861637977,1.1147609037710837,8.177479683569613,2.674529645941056
-122.29,38.29,52.0,3217.0,742.0,1670.0,671.0,2.4398,1.0,2.3337215032799876,3.9319762110935126,8.0842963777154,3.7942003558008643
-118.02,34.09,24.0,2080.0,514.0,1976.0,478.0,2.6917,0.0,2.790776324459768,2.1371401950362707,8.056143069347502,2.591506378090522
-122.18,37.77,52.0,1748.0,362.0,1029.0,366.0,2.0556,1.0,1.9143986790363834,3.542285215372979,9.425643539386673,4.467541204201096
-119.83,36.8,24.0,3756.0,681.0,1586.0,739.0,3.8571,0.0,2.004760929005689,2.9684761058186613,7.21613489177912,2.099728673439219
-120.04,36.95,36.0,1528.0,347.0,1334.0,304.0,1.3594,0.0,1.7076710089632177,2.9202018693200062,9.11121273219666,3.8170125673302984
-118.29,34.04,31.0,700.0,299.0,1272.0,298.0,2.1542,3.0,3.0987507909506125,1.2150347992612924,9.267877833030813,3.5451507523665926
-117.21,34.22,31.0,5454.0,1053.0,1408.0,504.0,5.0,0.0,3.584389988379031,2.873510327116416,6.941091792006751,2.1944898948706215
-120.22,39.35,8.0,1872.0,281.0,203.0,71.0,4.5882,0.0,2.3056989341852683,3.910013570002794,9.73872881456839,4.508381747332166
-117.29,34.12,45.0,1369.0,351.0,1046.0,274.0,1.8438,0.0,3.243601163577239,2.4575916915278393,9.454982968441643,4.13822061664633
-122.45,40.46,16.0,2734.0,501.0,1413.0,484.0,2.8085,0.0,1.9458918487569143,4.466114205713888,8.532999886563502,4.0174745011372615
-121.39,38.58,41.0,2577.0,365.0,913.0,339.0,6.3406,0.0,1.8125903490533641,3.644690813095225,9.115310138410978,4.226442081759004
-122.34,37.94,47.0,2313.0,433.0,947.0,430.0,3.942,1.0,1.3785079258614934,3.3328351898808943,8.994009620539373,4.020651653522423
-118.28,33.75,21.0,2442.0,719.0,1916.0,646.0,1.2276,2.0,3.3331809809126263,2.1492088067345603,7.579196343995094,2.1611950690455775
-121.46,38.61,43.0,1111.0,269.0,613.0,290.0,1.2917,0.0,1.857768645788117,3.8126542080939623,9.866231072515461,4.782484982557151
-118.35,34.22,41.0,1560.0,374.0,1668.0,389.0,3.025,3.0,3.0278194362566673,1.103877770417727,8.791281431459561,3.2329238664899416
-120.62,37.36,15.0,3455.0,729.0,2014.0,659.0,3.2656,0.0,2.1762613485346303,3.473399718960708,7.18841630499436,2.327448045934359
-117.14,32.8,41.0,2423.0,469.0,1813.0,466.0,2.1157,2.0,3.626698900199269,1.5908402405573834,8.436234025268202,3.121171483729708
-116.54,33.87,16.0,3648.0,1035.0,1687.0,581.0,1.9167,0.0,3.9456222169750914,3.1253410771212695,7.203696543088868,2.426886395405308
-118.28,33.92,39.0,1274.0,282.0,975.0,277.0,1.5114,3.0,3.2664624291377424,1.5610306127543678,9.45872265977229,3.8630970754583993
-118.17,33.98,27.0,1871.0,556.0,2542.0,581.0,2.8427,3.0,3.279649275684031,1.4779627875739245,7.722980299156269,2.144865484657413
-122.27,37.55,16.0,4789.0,816.0,1840.0,763.0,6.7474,1.0,2.8978453250174807,4.08358585366979,6.849550283003197,2.700979454168586
-121.26,38.11,4.0,2058.0,366.0,933.0,316.0,4.2448,0.0,2.2359404147589306,3.8323811280404767,8.946637209577823,3.8767156530172393
-117.79,33.68,10.0,2106.0,319.0,1002.0,332.0,8.735,3.0,4.4492142032751305,3.029242369417692,9.10840795189415,4.019327935789626
-118.48,34.27,34.0,1231.0,222.0,702.0,222.0,4.9323,3.0,2.9953609266189876,1.0506222292292096,9.514310913540173,3.7590235062302515
-117.0,32.76,31.0,2545.0,373.0,956.0,342.0,4.3977,3.0,3.704886451716365,0.8743645961654056,8.85765616090449,3.2587623985183094
-118.28,34.06,17.0,2518.0,1196.0,3051.0,1000.0,1.7199,3.0,4.435914292915597,3.4431674794092424,6.128004897615771,1.8245871130833187
-118.23,33.94,39.0,1141.0,258.0,1313.0,234.0,2.0187,3.0,3.2121124570440585,1.3675207181004092,9.403481484795558,3.7777882231881748
-118.01,34.55,2.0,2701.0,530.0,1368.0,430.0,4.071,0.0,3.3895947877580266,3.022480364095496,8.169703094897065,2.9543976574512363
-118.14,33.9,39.0,1379.0,282.0,883.0,291.0,3.3375,3.0,3.1216294130799014,0.9386343222226151,9.351303414512978,3.6650645581099233
-121.8,37.32,14.0,4412.0,924.0,2698.0,891.0,4.7027,3.0,3.4280891565449285,3.946159000777125,6.204402952022548,2.088465079129598
-121.13,38.47,16.0,2574.0,441.0,1041.0,428.0,3.6645,0.0,1.3960673858612074,3.4752621061213893,8.536219424747085,3.429335158584011
-118.48,34.01,40.0,2198.0,611.0,1023.0,567.0,3.755,3.0,3.033152029937338,1.0695924113670283,8.346388558213917,2.8267770277640416
-121.92,37.34,35.0,357.0,120.0,377.0,99.0,3.0139,3.0,2.200768916436653,2.981862978009253,10.278012184082172,4.728430561351405
-117.94,34.03,35.0,1375.0,249.0,1015.0,239.0,4.0521,3.0,3.103981422753191,0.7191980197560127,9.331869384847085,3.5845451952058984
-122.29,38.3,52.0,935.0,224.0,315.0,207.0,1.8287,1.0,2.213030048710358,3.868743189213461,10.296659852159234,5.178873786509629
-121.29,38.13,20.0,3168.0,514.0,1390.0,490.0,5.0,0.0,1.5039777053791543,3.431626277595812,8.077879788575904,3.105375708324342
-119.32,34.35,16.0,52.0,16.0,51.0,15.0,2.475,2.0,3.0983906816921145,2.402187533558166,10.44509717107825,4.5869715955125105
-117.03,32.74,37.0,821.0,150.0,404.0,135.0,3.0125,2.0,3.6617202616801294,1.5324626633535887,10.063183674748695,4.3498695560514795
-116.99,34.89,24.0,2741.0,577.0,1551.0,522.0,3.474,0.0,2.920114436806127,2.2004465632205408,7.942999720633315,2.5326449228014574
-118.28,34.24,32.0,2542.0,526.0,1278.0,493.0,4.45,3.0,2.9550415319277965,0.8039538071198719,8.220191240774648,2.536957356576239
-117.82,33.66,24.0,4227.0,641.0,1605.0,589.0,6.4238,3.0,3.798660480794303,2.069031802013793,7.46689497243506,2.247510494596342
-118.41,34.02,34.0,1430.0,357.0,805.0,362.0,3.3462,3.0,2.930321349611562,0.7034516656004388,9.100286152996203,3.349887376816705
-117.97,33.94,36.0,1870.0,338.0,947.0,324.0,4.1205,3.0,3.089328308213216,0.59811810985167,9.040690277063092,3.3384889203323507
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,1.0,2.5105824869504376,3.794171216194692,9.451500685251762,4.671096724314845
-117.92,34.07,36.0,1057.0,207.0,658.0,207.0,4.7708,3.0,3.2201015672104494,1.0716467468921087,9.656022435543932,3.9185517230539295
-122.82,38.39,22.0,1288.0,243.0,593.0,220.0,3.625,3.0,2.0083876852142195,3.4092809618994764,9.6598526966902,4.344089263434327
-121.12,37.73,35.0,1107.0,227.0,573.0,210.0,2.3924,0.0,1.3215392953732212,3.2433351080374124,9.75907071654361,4.392893989219112
-122.16,37.74,52.0,771.0,147.0,355.0,144.0,4.1458,1.0,2.1166828167651546,3.5819633779161775,10.356366497614504,5.1154302731326045
-118.15,34.13,34.0,824.0,224.0,430.0,213.0,3.6389,3.0,3.100766456963972,1.0830519478571041,9.74801407176668,3.949185448427618
