longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.24,37.43,36.0,2410.0,361.0,934.0,377.0,7.652,2.0
-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,1.0
-118.26,33.92,40.0,1076.0,244.0,705.0,255.0,1.7986,3.0
-117.08,34.02,20.0,3111.0,563.0,1453.0,538.0,3.3365,0.0
-118.48,34.19,36.0,2058.0,423.0,1132.0,423.0,3.8833,3.0
-121.46,38.64,20.0,1517.0,323.0,1287.0,328.0,1.6607,0.0
-117.25,34.11,30.0,2173.0,560.0,1509.0,486.0,1.4079,0.0
-122.02,37.31,34.0,2629.0,433.0,1301.0,431.0,6.083,3.0
-118.0,33.82,21.0,2253.0,580.0,1536.0,500.0,3.2326,3.0
-117.66,34.08,33.0,3659.0,590.0,1773.0,615.0,3.9227,0.0
-122.99,39.02,14.0,1582.0,301.0,851.0,273.0,3.45,3.0
-119.77,36.74,51.0,1454.0,235.0,729.0,252.0,3.3125,0.0
-121.31,37.99,23.0,3135.0,707.0,1650.0,680.0,1.886,0.0
-121.62,41.78,40.0,3272.0,663.0,1467.0,553.0,1.7885,0.0
-118.42,34.06,52.0,1881.0,334.0,640.0,321.0,6.871,3.0
-118.39,34.15,36.0,2696.0,713.0,905.0,659.0,3.1146,3.0
-121.42,37.75,33.0,1999.0,368.0,1061.0,390.0,3.5242,0.0
-122.17,37.73,46.0,2163.0,470.0,925.0,435.0,3.25,1.0
-121.32,38.62,29.0,2430.0,448.0,1087.0,394.0,3.0864,0.0
-121.75,38.67,9.0,12139.0,2640.0,6837.0,2358.0,3.125,0.0
-116.25,33.68,16.0,926.0,189.0,238.0,118.0,3.0114,0.0
-122.94,39.1,18.0,681.0,120.0,272.0,105.0,2.8906,0.0
-118.39,34.15,29.0,3110.0,650.0,1212.0,642.0,4.2031,3.0
-118.37,34.1,37.0,407.0,67.0,100.0,47.0,15.0001,3.0
-122.27,37.88,52.0,3360.0,648.0,1232.0,621.0,4.2813,1.0
-121.27,37.93,24.0,1451.0,320.0,1413.0,283.0,2.125,0.0
-121.75,38.55,33.0,2479.0,382.0,979.0,377.0,4.7308,0.0
-122.66,39.02,16.0,3715.0,810.0,943.0,510.0,1.7446,0.0
-119.55,36.51,46.0,1889.0,390.0,971.0,403.0,2.2132,0.0
-117.04,32.71,28.0,5274.0,991.0,3727.0,961.0,3.57,2.0
-119.27,34.27,52.0,459.0,112.0,276.0,107.0,2.375,2.0
-117.99,34.04,30.0,4468.0,959.0,4027.0,938.0,3.185,3.0
-118.29,33.74,29.0,1503.0,411.0,1368.0,390.0,2.1473,2.0
-121.76,37.0,21.0,1416.0,269.0,779.0,200.0,3.1987,3.0
-118.44,34.18,36.0,2077.0,496.0,1206.0,528.0,2.2326,3.0
-117.9,34.13,5.0,1126.0,316.0,819.0,311.0,1.5,3.0
-121.91,37.46,26.0,2762.0,496.0,1716.0,459.0,5.6062,3.0
-118.16,33.88,33.0,2180.0,522.0,1634.0,467.0,3.0114,3.0
-118.37,33.97,32.0,6699.0,1781.0,2725.0,1544.0,3.3889,3.0
-121.73,36.85,22.0,1304.0,278.0,887.0,227.0,3.6607,3.0
-121.76,38.57,11.0,15018.0,3008.0,7984.0,2962.0,3.1371,0.0
-121.98,37.36,32.0,1199.0,229.0,814.0,238.0,4.6719,3.0
-118.2,34.07,21.0,1353.0,380.0,1688.0,367.0,1.9937,3.0
-117.08,32.69,31.0,2558.0,487.0,1938.0,492.0,3.4875,2.0
-117.3,33.06,24.0,2171.0,511.0,870.0,442.0,3.194,2.0
-118.13,33.77,37.0,4365.0,926.0,1661.0,868.0,5.3046,2.0
-122.14,37.68,27.0,3337.0,613.0,1489.0,607.0,3.6364,1.0
-122.3,38.29,20.0,1789.0,434.0,1113.0,398.0,2.4728,1.0
-116.2,33.63,23.0,1152.0,273.0,1077.0,235.0,2.5,0.0
-118.5,34.24,34.0,2634.0,412.0,1114.0,423.0,5.9401,3.0
-118.18,33.82,43.0,2210.0,469.0,1042.0,418.0,3.5,2.0
-118.37,33.99,36.0,3228.0,543.0,1305.0,520.0,5.1695,3.0
-118.31,34.07,28.0,2362.0,949.0,2759.0,894.0,2.2364,3.0
-117.51,34.16,2.0,718.0,98.0,119.0,50.0,4.1,0.0
-122.09,37.86,27.0,5484.0,760.0,2212.0,770.0,7.6202,1.0
-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,1.0
-117.12,32.59,28.0,2793.0,706.0,1825.0,676.0,2.6724,2.0
-117.7,33.6,26.0,1021.0,230.0,301.0,208.0,2.625,3.0
-118.31,34.09,28.0,720.0,267.0,891.0,265.0,1.8977,3.0
-122.57,37.98,49.0,2860.0,552.0,1178.0,522.0,4.625,1.0
-118.34,34.0,44.0,3183.0,513.0,1183.0,473.0,5.0407,3.0
-117.96,33.79,36.0,2398.0,403.0,1261.0,402.0,5.2816,3.0
-118.44,34.06,13.0,4833.0,1119.0,1649.0,807.0,6.2389,3.0
-118.34,33.92,6.0,1047.0,271.0,740.0,248.0,3.425,3.0
-118.34,34.11,51.0,937.0,348.0,527.0,333.0,4.3571,3.0
-117.85,34.11,25.0,9255.0,1659.0,4944.0,1627.0,4.5708,0.0
-118.17,34.06,44.0,1856.0,461.0,1853.0,452.0,2.5033,3.0
-118.27,33.95,34.0,987.0,248.0,902.0,221.0,2.3365,3.0
-122.86,39.05,20.0,1592.0,327.0,647.0,253.0,2.5326,0.0
-118.24,34.13,45.0,2170.0,401.0,1043.0,394.0,5.6921,3.0
-118.46,34.0,39.0,614.0,174.0,538.0,159.0,2.3542,3.0
-122.5,37.6,35.0,2197.0,369.0,971.0,326.0,4.25,2.0
-118.12,33.91,35.0,620.0,122.0,381.0,124.0,3.7917,3.0
-118.24,33.83,22.0,7368.0,1367.0,4721.0,1342.0,4.8438,3.0
-121.27,38.12,37.0,2232.0,504.0,1455.0,471.0,2.5587,0.0
-122.02,37.98,37.0,1474.0,343.0,782.0,331.0,3.4187,1.0
-117.08,32.62,28.0,2468.0,506.0,1353.0,522.0,3.0771,2.0
-118.08,33.9,42.0,1768.0,372.0,1155.0,368.0,3.558,3.0
-122.47,37.73,52.0,2151.0,280.0,762.0,274.0,10.7309,2.0
-117.98,34.07,15.0,3543.0,888.0,3131.0,823.0,3.0184,0.0
-117.44,33.93,34.0,1577.0,272.0,880.0,284.0,4.6327,0.0
-122.4,37.72,40.0,1948.0,413.0,1434.0,396.0,3.0313,1.0
-119.26,35.87,24.0,1590.0,390.0,1686.0,372.0,1.6469,0.0
-117.46,34.06,24.0,2831.0,478.0,1582.0,435.0,4.3397,0.0
-117.64,34.06,43.0,763.0,219.0,851.0,198.0,1.7292,0.0
-118.35,33.92,29.0,736.0,232.0,584.0,231.0,3.6167,3.0
-119.02,35.38,52.0,90.0,35.0,36.0,31.0,0.8054,0.0
-121.92,37.72,22.0,4638.0,716.0,2302.0,687.0,5.347,3.0
-117.7,33.53,5.0,6698.0,1254.0,2834.0,1139.0,5.9088,3.0
-119.11,35.39,22.0,984.0,176.0,451.0,170.0,3.25,0.0
-122.35,37.98,34.0,3756.0,726.0,2237.0,686.0,3.7562,1.0
-117.95,33.84,19.0,1749.0,406.0,969.0,391.0,3.75,3.0
-118.51,34.22,36.0,1952.0,387.0,1156.0,392.0,4.185,3.0
-119.82,36.19,33.0,1293.0,272.0,694.0,229.0,2.0221,0.0
-121.5,38.53,37.0,3642.0,684.0,1508.0,657.0,3.5231,0.0
-118.45,34.14,33.0,1741.0,274.0,588.0,267.0,7.9625,3.0
-118.15,33.86,32.0,2630.0,559.0,1069.0,491.0,2.4659,3.0
-116.41,33.74,25.0,2475.0,476.0,910.0,387.0,3.3639,0.0
-118.0,33.94,36.0,2911.0,534.0,1395.0,486.0,5.1738,3.0
-122.29,38.29,52.0,3217.0,742.0,1670.0,671.0,2.4398,1.0
-118.02,34.09,24.0,2080.0,514.0,1976.0,478.0,2.6917,0.0
-122.18,37.77,52.0,1748.0,362.0,1029.0,366.0,2.0556,1.0
-119.83,36.8,24.0,3756.0,681.0,1586.0,739.0,3.8571,0.0
-120.04,36.95,36.0,1528.0,347.0,1334.0,304.0,1.3594,0.0
-118.29,34.04,31.0,700.0,299.0,1272.0,298.0,2.1542,3.0
-117.21,34.22,31.0,5454.0,1053.0,1408.0,504.0,5.0,0.0
-120.22,39.35,8.0,1872.0,281.0,203.0,71.0,4.5882,0.0
-117.29,34.12,45.0,1369.0,351.0,1046.0,274.0,1.8438,0.0
-122.45,40.46,16.0,2734.0,501.0,1413.0,484.0,2.8085,0.0
-121.39,38.58,41.0,2577.0,365.0,913.0,339.0,6.3406,0.0
-122.34,37.94,47.0,2313.0,433.0,947.0,430.0,3.942,1.0
-118.28,33.75,21.0,2442.0,719.0,1916.0,646.0,1.2276,2.0
-121.46,38.61,43.0,1111.0,269.0,613.0,290.0,1.2917,0.0
-118.35,34.22,41.0,1560.0,374.0,1668.0,389.0,3.025,3.0
-120.62,37.36,15.0,3455.0,729.0,2014.0,659.0,3.2656,0.0
-117.14,32.8,41.0,2423.0,469.0,1813.0,466.0,2.1157,2.0
-116.54,33.87,16.0,3648.0,1035.0,1687.0,581.0,1.9167,0.0
-118.28,33.92,39.0,1274.0,282.0,975.0,277.0,1.5114,3.0
-118.17,33.98,27.0,1871.0,556.0,2542.0,581.0,2.8427,3.0
-122.27,37.55,16.0,4789.0,816.0,1840.0,763.0,6.7474,1.0
-121.26,38.11,4.0,2058.0,366.0,933.0,316.0,4.2448,0.0
-117.79,33.68,10.0,2106.0,319.0,1002.0,332.0,8.735,3.0
-118.48,34.27,34.0,1231.0,222.0,702.0,222.0,4.9323,3.0
-117.0,32.76,31.0,2545.0,373.0,956.0,342.0,4.3977,3.0
-118.28,34.06,17.0,2518.0,1196.0,3051.0,1000.0,1.7199,3.0
-118.23,33.94,39.0,1141.0,258.0,1313.0,234.0,2.0187,3.0
-118.01,34.55,2.0,2701.0,530.0,1368.0,430.0,4.071,0.0
-118.14,33.9,39.0,1379.0,282.0,883.0,291.0,3.3375,3.0
-121.8,37.32,14.0,4412.0,924.0,2698.0,891.0,4.7027,3.0
-121.13,38.47,16.0,2574.0,441.0,1041.0,428.0,3.6645,0.0
-118.48,34.01,40.0,2198.0,611.0,1023.0,567.0,3.755,3.0
-121.92,37.34,35.0,357.0,120.0,377.0,99.0,3.0139,3.0
-117.94,34.03,35.0,1375.0,249.0,1015.0,239.0,4.0521,3.0
-122.29,38.3,52.0,935.0,224.0,315.0,207.0,1.8287,1.0
-121.29,38.13,20.0,3168.0,514.0,1390.0,490.0,5.0,0.0
-119.32,34.35,16.0,52.0,16.0,51.0,15.0,2.475,2.0
-117.03,32.74,37.0,821.0,150.0,404.0,135.0,3.0125,2.0
-116.99,34.89,24.0,2741.0,577.0,1551.0,522.0,3.474,0.0
-118.28,34.24,32.0,2542.0,526.0,1278.0,493.0,4.45,3.0
-117.82,33.66,24.0,4227.0,641.0,1605.0,589.0,6.4238,3.0
-118.41,34.02,34.0,1430.0,357.0,805.0,362.0,3.3462,3.0
-117.97,33.94,36.0,1870.0,338.0,947.0,324.0,4.1205,3.0
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,1.0
-117.92,34.07,36.0,1057.0,207.0,658.0,207.0,4.7708,3.0
-122.82,38.39,22.0,1288.0,243.0,593.0,220.0,3.625,3.0
-121.12,37.73,35.0,1107.0,227.0,573.0,210.0,2.3924,0.0
-122.16,37.74,52.0,771.0,147.0,355.0,144.0,4.1458,1.0
-118.15,34.13,34.0,824.0,224.0,430.0,213.0,3.6389,3.0
-118.42,33.97,44.0,1462.0,240.0,562.0,237.0,4.9375,3.0
-122.44,37.78,37.0,1235.0,314.0,481.0,297.0,3.6875,1.0
-118.23,33.78,20.0,59.0,24.0,69.0,23.0,2.5588,2.0
-121.68,37.0,19.0,3754.0,588.0,1692.0,550.0,6.7644,3.0
-117.05,32.61,26.0,1563.0,286.0,1145.0,313.0,3.8615,2.0
-118.2,33.78,48.0,1766.0,497.0,1908.0,466.0,1.9872,2.0
-121.31,38.02,24.0,4157.0,951.0,2734.0,879.0,2.7981,0.0
-119.39,34.32,19.0,3238.0,629.0,1195.0,443.0,4.8472,2.0
-121.98,37.14,37.0,74.0,19.0,63.0,17.0,9.5908,3.0
-117.9,33.91,33.0,4181.0,804.0,2049.0,834.0,4.3103,3.0
-118.36,34.08,52.0,1902.0,488.0,848.0,478.0,2.9621,3.0
-117.64,34.12,18.0,3605.0,534.0,1682.0,480.0,5.8407,0.0
-118.16,33.97,39.0,1444.0,447.0,1890.0,416.0,2.1181,3.0
-119.03,35.42,38.0,2952.0,598.0,1491.0,568.0,2.6094,0.0
-116.8,33.52,3.0,830.0,145.0,272.0,104.0,3.8281,0.0
-119.16,34.95,14.0,4054.0,787.0,1581.0,579.0,3.0882,0.0
-121.47,38.72,26.0,1708.0,299.0,911.0,290.0,4.0227,0.0
-120.71,37.39,11.0,1479.0,341.0,1476.0,327.0,3.2721,0.0
-118.16,34.02,44.0,1218.0,374.0,1175.0,342.0,1.9688,3.0
-122.03,38.26,25.0,4617.0,1046.0,2685.0,1011.0,2.9576,0.0
-122.19,38.07,20.0,3000.0,525.0,1207.0,491.0,4.6406,1.0
-117.87,33.6,33.0,3120.0,602.0,1155.0,553.0,5.2949,3.0
-118.43,34.24,37.0,1279.0,241.0,987.0,233.0,4.0057,3.0
-116.98,32.72,15.0,4209.0,680.0,1914.0,641.0,4.5135,3.0
-117.96,33.81,35.0,1153.0,192.0,884.0,208.0,5.2384,3.0
-121.42,38.62,33.0,3171.0,832.0,1591.0,695.0,2.0786,0.0
-118.1,33.89,36.0,769.0,142.0,498.0,137.0,4.7159,3.0
-117.08,32.69,36.0,1571.0,284.0,1001.0,268.0,3.6875,2.0
-121.63,39.15,27.0,336.0,60.0,195.0,68.0,5.3946,0.0
-116.53,33.95,18.0,2990.0,648.0,1280.0,532.0,2.625,0.0
-121.75,39.4,29.0,1687.0,327.0,864.0,334.0,2.4943,0.0
-121.89,37.36,37.0,1525.0,363.0,1075.0,374.0,2.8971,3.0
-117.13,32.71,35.0,614.0,180.0,691.0,164.0,1.6953,2.0
-119.82,34.44,28.0,1992.0,531.0,1622.0,509.0,2.7689,2.0
-116.17,33.67,18.0,3585.0,800.0,3873.0,788.0,2.5714,0.0
-118.35,34.03,49.0,2334.0,530.0,1334.0,447.0,1.89,3.0
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,1.0
-118.01,33.71,18.0,6565.0,1357.0,3079.0,1248.0,4.7515,3.0
-118.37,33.95,32.0,1067.0,286.0,1053.0,277.0,2.8438,3.0
-121.52,39.51,30.0,3085.0,610.0,1688.0,575.0,2.334,0.0
-117.78,34.09,32.0,2643.0,516.0,1862.0,478.0,3.7177,0.0
-118.47,34.42,25.0,3223.0,524.0,1763.0,508.0,5.2887,3.0
-116.24,33.76,9.0,1961.0,595.0,966.0,275.0,3.8125,0.0
-116.91,32.73,8.0,4630.0,624.0,2048.0,575.0,6.4745,3.0
-118.18,34.1,7.0,2529.0,689.0,1215.0,577.0,4.7853,3.0
-117.97,34.14,15.0,3595.0,964.0,1839.0,877.0,2.6014,0.0
-122.16,37.77,39.0,1583.0,349.0,857.0,316.0,3.0958,1.0
-117.3,34.15,38.0,740.0,163.0,332.0,138.0,2.4107,0.0
-122.28,37.89,52.0,2616.0,473.0,1085.0,487.0,4.125,1.0
-121.77,36.53,18.0,2321.0,358.0,803.0,341.0,10.1854,3.0
-117.93,34.05,36.0,1340.0,221.0,848.0,244.0,4.1731,3.0
-121.75,36.96,19.0,3461.0,634.0,2790.0,607.0,4.7569,3.0
-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,1.0
-122.03,37.91,29.0,5438.0,871.0,2310.0,890.0,5.0362,1.0
-121.96,37.53,23.0,2215.0,475.0,1278.0,492.0,4.2955,3.0
-117.93,33.66,18.0,2043.0,250.0,702.0,246.0,9.6062,3.0
-117.2,32.79,34.0,757.0,212.0,409.0,222.0,3.2312,2.0
-121.32,37.98,20.0,1591.0,589.0,1916.0,536.0,1.3531,0.0
-120.29,37.94,17.0,1459.0,297.0,753.0,271.0,3.05,0.0
-122.73,38.26,35.0,3941.0,645.0,1668.0,620.0,4.385,3.0
-121.97,37.24,35.0,2553.0,533.0,1117.0,498.0,4.4063,3.0
-119.95,38.95,21.0,2046.0,580.0,952.0,353.0,1.7245,0.0
-118.56,34.19,35.0,782.0,144.0,425.0,140.0,5.4548,3.0
-117.3,34.05,7.0,4672.0,1121.0,2534.0,1046.0,3.4228,0.0
-121.96,37.3,20.0,4228.0,1006.0,2334.0,1007.0,4.3081,3.0
-121.65,36.85,20.0,2606.0,424.0,1361.0,426.0,4.5787,3.0
-119.38,36.55,31.0,2342.0,439.0,1411.0,465.0,3.017,0.0
-120.59,35.12,27.0,3055.0,677.0,1407.0,610.0,2.1702,3.0
-122.19,39.53,34.0,2679.0,533.0,1287.0,505.0,2.165,0.0
-118.19,33.94,45.0,1871.0,371.0,1315.0,382.0,3.3661,3.0
-122.35,37.97,43.0,2178.0,482.0,1545.0,471.0,2.5863,1.0
-122.16,37.74,43.0,1534.0,300.0,826.0,295.0,4.0417,1.0
-117.98,33.86,26.0,1240.0,285.0,781.0,315.0,4.1287,3.0
-122.49,37.69,36.0,1344.0,258.0,782.0,265.0,4.5,2.0
-121.84,37.26,5.0,1808.0,340.0,825.0,339.0,5.0509,3.0
-117.63,34.37,20.0,7052.0,1306.0,2197.0,810.0,3.7252,0.0
-118.3,33.91,34.0,1617.0,493.0,1530.0,500.0,2.6182,3.0
-117.2,33.14,19.0,2025.0,414.0,1663.0,403.0,3.8147,3.0
-119.3,36.34,27.0,1515.0,358.0,1178.0,309.0,1.4432,0.0
-122.25,37.39,33.0,370.0,42.0,153.0,53.0,10.6514,2.0
-119.38,36.56,25.0,1180.0,222.0,611.0,212.0,2.0729,0.0
-118.09,34.06,31.0,1146.0,289.0,1163.0,258.0,2.2083,3.0
-122.44,37.79,52.0,3640.0,840.0,1525.0,796.0,4.4375,1.0
-118.56,34.17,35.0,2987.0,391.0,1244.0,387.0,7.1322,3.0
-117.1,32.83,16.0,1049.0,154.0,467.0,160.0,6.2047,3.0
-118.28,34.08,42.0,997.0,374.0,982.0,372.0,2.9423,3.0
-120.98,37.68,18.0,4197.0,1006.0,2203.0,874.0,2.166,0.0
-117.01,32.79,31.0,3776.0,815.0,1886.0,799.0,3.4421,3.0
-122.26,37.57,23.0,7995.0,1254.0,3484.0,1198.0,6.5948,1.0
-117.94,33.77,32.0,714.0,142.0,654.0,154.0,4.5052,3.0
-122.39,40.6,22.0,2195.0,489.0,1021.0,460.0,1.4125,0.0
-118.25,34.11,43.0,2230.0,583.0,1667.0,543.0,2.8667,3.0
-117.14,32.75,20.0,1182.0,379.0,678.0,326.0,2.1937,2.0
-122.69,39.04,9.0,254.0,50.0,66.0,29.0,2.7639,0.0
-118.4,34.18,32.0,3724.0,899.0,1912.0,791.0,3.5711,3.0
-117.88,33.84,25.0,1781.0,349.0,918.0,378.0,3.9286,3.0
-122.07,37.68,36.0,1815.0,426.0,1280.0,431.0,3.25,1.0
-118.5,34.23,26.0,3082.0,573.0,1590.0,586.0,4.5167,3.0
-117.85,33.79,46.0,1846.0,383.0,867.0,336.0,3.4234,3.0
-118.32,34.26,24.0,5106.0,1010.0,2310.0,957.0,4.4375,3.0
-118.13,33.84,46.0,2439.0,429.0,944.0,374.0,4.2841,3.0
-121.0,37.67,26.0,90.0,18.0,47.0,18.0,1.125,0.0
-120.63,38.75,17.0,3145.0,621.0,1432.0,559.0,2.7201,0.0
-117.07,32.76,14.0,2523.0,545.0,1297.0,525.0,2.3886,2.0
-118.14,34.09,28.0,4164.0,1127.0,2934.0,1014.0,2.7483,3.0
-117.86,33.8,35.0,1683.0,347.0,1242.0,335.0,3.5172,3.0
-117.06,32.79,17.0,2524.0,332.0,771.0,317.0,8.7604,3.0
-118.44,34.16,35.0,3080.0,642.0,1362.0,623.0,4.1218,3.0
-117.28,33.89,33.0,6982.0,1371.0,5650.0,1195.0,2.5379,0.0
-121.84,39.72,52.0,1457.0,389.0,802.0,342.0,0.9566,0.0
-119.83,36.78,30.0,3162.0,640.0,1660.0,639.0,2.8359,0.0
-117.31,32.98,17.0,2789.0,648.0,849.0,345.0,4.1012,2.0
-117.66,35.6,14.0,1740.0,391.0,850.0,317.0,2.5812,0.0
-121.27,38.12,44.0,2356.0,482.0,1043.0,443.0,2.4949,0.0
-122.34,37.58,50.0,2784.0,743.0,1622.0,698.0,3.8413,2.0
-117.05,33.02,18.0,917.0,121.0,388.0,131.0,6.3517,3.0
-119.77,36.81,25.0,1565.0,271.0,661.0,275.0,3.4279,0.0
-119.68,36.81,16.0,2668.0,454.0,1536.0,457.0,3.9792,0.0
-116.77,33.08,13.0,1406.0,260.0,737.0,279.0,5.5842,3.0
-121.2,38.36,14.0,2634.0,463.0,1402.0,432.0,3.8897,0.0
-118.3,34.16,35.0,3213.0,874.0,2401.0,819.0,2.8342,3.0
-121.91,37.47,13.0,5377.0,744.0,2759.0,760.0,6.868,3.0
-119.74,36.65,19.0,2546.0,463.0,1257.0,418.0,2.9013,0.0
-118.3,33.84,36.0,1428.0,268.0,825.0,250.0,4.7222,3.0
-122.05,38.25,39.0,199.0,36.0,101.0,38.0,6.2299,0.0
-119.52,34.39,23.0,1414.0,365.0,889.0,345.0,2.6397,2.0
-116.91,32.78,15.0,4058.0,511.0,1580.0,473.0,7.5,3.0
-117.97,33.76,28.0,1386.0,272.0,901.0,294.0,4.7464,3.0
-117.43,34.11,17.0,4109.0,884.0,2544.0,780.0,2.7757,0.0
-118.21,33.97,43.0,1751.0,400.0,1558.0,379.0,3.0313,3.0
-117.12,32.71,24.0,421.0,101.0,396.0,113.0,0.6433,2.0
-120.66,40.42,35.0,1450.0,325.0,717.0,297.0,2.5074,0.0
-121.98,38.36,30.0,140.0,35.0,103.0,35.0,4.163,0.0
-118.21,33.93,30.0,2831.0,862.0,3649.0,883.0,1.9668,3.0
-117.93,33.86,35.0,1216.0,225.0,893.0,228.0,4.0288,3.0
-117.05,33.13,20.0,7746.0,2035.0,5370.0,1838.0,2.3762,3.0
-122.14,37.46,27.0,5580.0,2009.0,4165.0,1763.0,2.4375,1.0
-124.13,40.79,32.0,2017.0,359.0,855.0,346.0,3.5833,2.0
-119.98,38.94,25.0,1339.0,328.0,503.0,219.0,1.9018,0.0
-117.92,33.85,44.0,1231.0,258.0,682.0,244.0,3.2344,3.0
-118.04,33.98,28.0,1617.0,507.0,1158.0,486.0,1.9688,3.0
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,1.0
-122.3,38.29,48.0,2278.0,477.0,1219.0,453.0,2.9643,1.0
-123.02,38.54,35.0,2157.0,487.0,768.0,322.0,3.2315,3.0
-122.42,40.59,24.0,5045.0,972.0,2220.0,979.0,2.6792,0.0
-118.53,34.23,32.0,4039.0,984.0,2675.0,941.0,3.0321,3.0
-118.3,33.94,36.0,2041.0,531.0,1390.0,464.0,2.0114,3.0
-117.84,33.89,19.0,3544.0,542.0,1787.0,560.0,6.7837,3.0
-118.36,34.15,34.0,3659.0,921.0,1338.0,835.0,3.6202,3.0
-122.16,37.86,36.0,3359.0,493.0,1298.0,483.0,8.1586,1.0
-116.95,33.68,11.0,1183.0,178.0,543.0,147.0,4.4792,0.0
-121.28,38.11,10.0,2974.0,588.0,1559.0,568.0,3.8825,0.0
-117.88,33.7,24.0,534.0,88.0,249.0,74.0,5.3254,3.0
-118.39,33.86,34.0,2361.0,442.0,915.0,437.0,5.687,3.0
-122.64,38.01,36.0,1336.0,258.0,678.0,249.0,5.5789,2.0
-118.31,34.05,42.0,443.0,223.0,582.0,223.0,2.2937,3.0
-116.96,32.81,8.0,2378.0,638.0,1410.0,623.0,2.9097,3.0
-122.41,37.66,40.0,1294.0,308.0,1177.0,301.0,3.6667,2.0
-117.94,33.86,36.0,2824.0,493.0,1394.0,507.0,4.6477,3.0
-122.48,37.57,34.0,4648.0,806.0,2282.0,814.0,4.5556,2.0
-122.31,37.58,44.0,1990.0,442.0,1141.0,424.0,3.9696,1.0
-117.48,33.93,31.0,2191.0,459.0,1564.0,450.0,2.6776,0.0
-117.03,32.63,14.0,2796.0,476.0,1466.0,464.0,5.2489,2.0
